category,question,option1,option2,option3,option4,correct_answer,recommendation_type,recommendation_title,recommendation_link
technical,"What is the Factory pattern?","Creates objects without specifying class","Creates databases","Creates tables","Creates indexes",1,w3schools,Factory Pattern,https://www.w3schools.com/java/java_factory_pattern.asp
technical,"What is the difference between IPv4 and IPv6?","IPv4 32-bit, IPv6 128-bit","IPv6 is older","No difference","IPv4 has more addresses",1,w3schools,IPv4 vs IPv6,https://www.w3schools.com/whatis/whatis_ipv4_ipv6.asp
technical,"What is a DNS server?","Converts domain names to IP addresses","Stores websites","Manages emails","Hosts databases",1,w3schools,DNS Explained,https://www.w3schools.com/whatis/whatis_dns.asp
technical,"What is authentication vs authorization?","AuthN is identity, AuthZ is permissions","Both are same","AuthZ is identity","AuthN is permissions",1,w3schools,Authentication vs Authorization,https://www.w3schools.com/cybersecurity/cybersecurity_authentication_authorization.php
softskills,"You are working on a team project and a teammate is struggling with their task. What do you do?","Ignore them","Do their work for them","Offer help and guidance","Complain to the manager",3,w3schools,Teamwork Skills,https://www.w3schools.com/softskills/teamwork.asp
softskills,"How do you handle a tight deadline?","Panic","Work overtime alone","Prioritize tasks and communicate with team","Give up",3,w3schools,Time Management,https://www.w3schools.com/softskills/time_management.asp
softskills,"A customer reports a bug right before product release. What is your response?","Ignore the bug","Blame the customer","Acknowledge and schedule fix","Pretend not to hear",3,w3schools,Customer Service,https://www.w3schools.com/softskills/customer_service.asp
softskills,"How do you respond to constructive criticism?","Get defensive","Ignore it","Listen and improve","Argue back",3,w3schools,Receiving Feedback,https://www.w3schools.com/softskills/feedback.asp
softskills,"Your manager assigns you a task you've never done before. What do you do?","Refuse to do it","Attempt without asking","Ask for guidance and learn","Complain to colleagues",3,w3schools,Learning Skills,https://www.w3schools.com/softskills/learning_skills.asp
softskills,"A colleague takes credit for your work. How do you handle it?","Stay silent","Confront aggressively","Speak privately with your manager","Do the same to them",3,w3schools,Conflict Resolution,https://www.w3schools.com/softskills/conflict_resolution.asp
softskills,"How do you prioritize multiple tasks?","Work on easiest first","Work on hardest first","Based on urgency and importance","Randomly choose",3,w3schools,Task Management,https://www.w3schools.com/softskills/time_management.asp
softskills,"You make a mistake that affects the project. What do you do?","Hide it","Blame someone else","Take responsibility and fix it","Wait for someone to notice",3,w3schools,Accountability,https://www.w3schools.com/softskills/accountability.asp
softskills,"How do you handle conflict with a coworker?","Avoid them","Argue publicly","Discuss privately and find solution","Complain to HR immediately",3,w3schools,Conflict Resolution,https://www.w3schools.com/softskills/conflict_resolution.asp
softskills,"What is the best way to communicate technical issues to non-technical people?","Use technical jargon","Use simple analogies","Send a long email","Avoid explaining",2,w3schools,Communication Skills,https://www.w3schools.com/softskills/communication.asp
softskills,"You notice a security vulnerability in the code. What do you do?","Ignore it","Fix it silently","Report it to the team lead","Exploit it",3,w3schools,Ethics,https://www.w3schools.com/softskills/workplace_ethics.asp
softskills,"How do you handle stress at work?","Take frequent breaks","Practice deep breathing","Prioritize tasks","All of the above",4,w3schools,Stress Management,https://www.w3schools.com/softskills/stress_management.asp
softskills,"What is the most important quality in a team member?","Reliability","Speed","Experience","Education",1,w3schools,Teamwork,https://www.w3schools.com/softskills/teamwork.asp
softskills,"How do you handle a situation where you disagree with the project approach?","Stay silent","Argue aggressively","Present alternative solution professionally","Quit the project",3,w3schools,Leadership,https://www.w3schools.com/softskills/leadership.asp
softskills,"What is active listening?","Hearing words","Waiting to speak","Understanding and responding thoughtfully","Taking notes",3,w3schools,Active Listening,https://www.w3schools.com/softskills/active_listening.asp
softskills,"How do you build trust with your team?","Complete tasks on time","Be honest and transparent","Help others","All of the above",4,w3schools,Building Trust,https://www.w3schools.com/softskills/building_trust.asp
softskills,"What would you do if you are overworked?","Burn out silently","Request help or reprioritization","Work 24/7","Quit immediately",2,w3schools,Work Life Balance,https://www.w3schools.com/softskills/work_life_balance.asp
softskills,"How do you celebrate team success?","Take all credit","Share recognition with team","Ignore it","Take a day off",2,w3schools,Team Recognition,https://www.w3schools.com/softskills/team_recognition.asp
softskills,"What is the best way to give feedback to a peer?","Publicly criticize","Send an angry email","Private, constructive conversation","Ignore the issue",3,w3schools,Giving Feedback,https://www.w3schools.com/softskills/feedback.asp
softskills,"How do you adapt to a new technology or process?","Resist change","Learn quickly and ask questions","Wait for training","Avoid using it",2,w3schools,Adaptability,https://www.w3schools.com/softskills/adaptability.asp
softskills,"What does empathy mean in the workplace?","Understanding others' feelings","Being sympathetic","Ignoring emotions","Staying professional",1,w3schools,Empathy,https://www.w3schools.com/softskills/empathy.asp
softskills,"How do you handle an angry customer?","Argue back","Listen and apologize","Hang up","Blame the company",2,w3schools,Customer Service,https://www.w3schools.com/softskills/customer_service.asp
softskills,"What is the best way to manage your time?","Make a to-do list","Prioritize tasks","Avoid multitasking","All of the above",4,w3schools,Time Management,https://www.w3schools.com/softskills/time_management.asp
softskills,"How do you maintain work-life balance?","Work 24/7","Set boundaries and take breaks","Never take vacation","Check emails all night",2,w3schools,Work Life Balance,https://www.w3schools.com/softskills/work_life_balance.asp
softskills,"What would you do if you see a colleague being bullied?","Ignore it","Join the bully","Report to manager","Laugh at them",3,w3schools,Workplace Ethics,https://www.w3schools.com/softskills/workplace_ethics.asp
softskills,"How do you handle a situation where you don't know the answer?","Lie","Say 'I don't know, but I'll find out'","Guess","Avoid the question",2,w3schools,Problem Solving,https://www.w3schools.com/softskills/problem_solving.asp
softskills,"What is the most effective leadership style?","Authoritarian","Democratic","Laissez-faire","Situational",4,w3schools,Leadership Styles,https://www.w3schools.com/softskills/leadership.asp
softskills,"How do you motivate a demotivated team member?","Criticize them","Recognize their efforts and encourage","Ignore them","Replace them",2,w3schools,Employee Motivation,https://www.w3schools.com/softskills/employee_motivation.asp
softskills,"What is the key to successful negotiation?","Winning at all costs","Finding win-win solution","Walking away","Aggressive demands",2,w3schools,Negotiation Skills,https://www.w3schools.com/softskills/negotiation.asp
softskills,"How do you handle gossip in the workplace?","Participate","Spread more gossip","Avoid and redirect conversation","Report immediately",3,w3schools,Workplace Ethics,https://www.w3schools.com/softskills/workplace_ethics.asp
softskills,"What is the most important soft skill for a manager?","Technical knowledge","Communication","Speed","Experience",2,w3schools,Management Skills,https://www.w3schools.com/softskills/management.asp
softskills,"How do you respond to a missed deadline?","Make excuses","Apologize and provide solution","Blame others","Ignore it",2,w3schools,Accountability,https://www.w3schools.com/softskills/accountability.asp
softskills,"What is the best way to ask for help?","Never ask","Ask clearly and respectfully","Demand help","Wait for offer",2,w3schools,Communication,https://www.w3schools.com/softskills/communication.asp
softskills,"How do you handle a situation where you are interrupted constantly?","Stay silent","Politely ask to finish","Yell at them","Walk away",2,w3schools,Communication,https://www.w3schools.com/softskills/communication.asp
softskills,"What is the most effective way to learn new skills?","Only formal training","Self-study and practice","Wait for promotion","Avoid learning",2,w3schools,Learning Skills,https://www.w3schools.com/softskills/learning_skills.asp
softskills,"How do you respond to a rejected idea?","Give up","Get angry","Ask for feedback and improve","Blame others",3,w3schools,Resilience,https://www.w3schools.com/softskills/resilience.asp
softskills,"What is the best way to build professional relationships?","Network genuinely","Use people for gain","Avoid socializing","Stay isolated",1,w3schools,Networking,https://www.w3schools.com/softskills/networking.asp
softskills,"How do you handle a difficult decision?","Procrastinate","Analyze options and decide","Ask everyone","Flip a coin",2,w3schools,Decision Making,https://www.w3schools.com/softskills/decision_making.asp
softskills,"What is the most important factor for career growth?","Hard work only","Luck","Continuous learning and adaptability","Degrees",3,w3schools,Career Growth,https://www.w3schools.com/softskills/career_growth.asp
softskills,"How do you handle a situation where you are wrongly accused?","Stay silent","Yell at accuser","Present facts calmly","Quit",3,w3schools,Conflict Management,https://www.w3schools.com/softskills/conflict_management.asp
softskills,"What is the best way to show leadership?","Give orders","Lead by example","Take credit","Avoid responsibility",2,w3schools,Leadership,https://www.w3schools.com/softskills/leadership.asp
softskills,"How do you handle a team member who is not contributing?","Do their work","Confront privately and offer support","Ignore them","Report immediately",2,w3schools,Team Management,https://www.w3schools.com/softskills/team_management.asp
softskills,"What is the most effective way to resolve a dispute?","Escalate immediately","Mediate and find common ground","Take sides","Avoid",2,w3schools,Conflict Resolution,https://www.w3schools.com/softskills/conflict_resolution.asp
softskills,"How do you maintain positivity during challenges?","Focus on solutions","Complain","Give up","Blame circumstances",1,w3schools,Positive Attitude,https://www.w3schools.com/softskills/positive_attitude.asp
softskills,"What is the best way to impress your manager?","Take initiative and deliver results","Flatter them","Work late always","Gossip",1,w3schools,Professionalism,https://www.w3schools.com/softskills/professionalism.asp
softskills,"How do you handle a toxic coworker?","Engage in drama","Maintain professionalism and distance","Complain constantly","Fight back",2,w3schools,Workplace Relationships,https://www.w3schools.com/softskills/workplace_relationships.asp
softskills,"What is the most important quality for career success?","Technical skills only","Soft skills only","Combination of both","Luck",3,w3schools,Career Success,https://www.w3schools.com/softskills/career_success.asp
softskills,"How do you approach a performance review?","Get defensive","Be open to feedback and discuss growth","Argue every point","Skip it",2,w3schools,Performance Review,https://www.w3schools.com/softskills/performance_review.asp
softskills,"What is the best way to build confidence?","Compare to others","Celebrate small wins","Avoid challenges","Wait for perfection",2,w3schools,Self Confidence,https://www.w3schools.com/softskills/self_confidence.asp
softskills,"How do you handle success?","Stay humble and grateful","Brag about it","Ignore it","Take all credit",1,w3schools,Humility,https://www.w3schools.com/softskills/humility.asp
softskills,"What is the most important lesson for a professional?","Always be right","Continuous improvement","Work harder than everyone","Follow orders",2,w3schools,Professional Growth,https://www.w3schools.com/softskills/professional_growth.asp
